2025-03-14 11:24:06 - Rufe Commits ab für isaack0815/SUEE4
2025-03-14 11:24:06 - Gefunden: 13 neue Commits
2025-03-14 11:24:06 - Erstelle Backup: /www/htdocs/w01ddc0a/suee4/SUEE4/backups/backup_2025-03-14_11-24-06.zip
2025-03-14 11:24:10 - Backup erfolgreich erstellt
2025-03-14 11:24:10 - Verarbeite Commit: 554b881835dfdb661c401b7a3d5335eea98f253e - first upload
2025-03-14 11:24:10 - Rufe geänderte Dateien für Commit 554b881835dfdb661c401b7a3d5335eea98f253e ab
2025-03-14 11:24:11 - Lade Datei herunter: .htaccess (Commit: 554b881835dfdb661c401b7a3d5335eea98f253e)
2025-03-14 11:24:11 - Lade Datei herunter: admin/api/groups.php (Commit: 554b881835dfdb661c401b7a3d5335eea98f253e)
2025-03-14 11:24:11 - Lade Datei herunter: admin/groups.php (Commit: 554b881835dfdb661c401b7a3d5335eea98f253e)
2025-03-14 11:24:12 - Lade Datei herunter: admin/index.php (Commit: 554b881835dfdb661c401b7a3d5335eea98f253e)
2025-03-14 11:24:12 - Lade Datei herunter: check_files.php (Commit: 554b881835dfdb661c401b7a3d5335eea98f253e)
2025-03-14 11:24:12 - Lade Datei herunter: check_templates.php (Commit: 554b881835dfdb661c401b7a3d5335eea98f253e)
2025-03-14 11:24:13 - Lade Datei herunter: classes/Database.php (Commit: 554b881835dfdb661c401b7a3d5335eea98f253e)
2025-03-14 11:24:13 - Lade Datei herunter: classes/Group.php (Commit: 554b881835dfdb661c401b7a3d5335eea98f253e)
2025-03-14 11:24:13 - Lade Datei herunter: classes/Language.php (Commit: 554b881835dfdb661c401b7a3d5335eea98f253e)
2025-03-14 11:24:13 - Lade Datei herunter: classes/Menu.php (Commit: 554b881835dfdb661c401b7a3d5335eea98f253e)
2025-03-14 11:24:14 - Lade Datei herunter: classes/User.php (Commit: 554b881835dfdb661c401b7a3d5335eea98f253e)
2025-03-14 11:24:14 - Lade Datei herunter: composer.json (Commit: 554b881835dfdb661c401b7a3d5335eea98f253e)
2025-03-14 11:24:14 - Lade Datei herunter: composer.lock (Commit: 554b881835dfdb661c401b7a3d5335eea98f253e)
2025-03-14 11:24:15 - Lade Datei herunter: config/config.php (Commit: 554b881835dfdb661c401b7a3d5335eea98f253e)
2025-03-14 11:24:15 - Lade Datei herunter: css/admin.css (Commit: 554b881835dfdb661c401b7a3d5335eea98f253e)
2025-03-14 11:24:15 - Lade Datei herunter: css/custom.css (Commit: 554b881835dfdb661c401b7a3d5335eea98f253e)
2025-03-14 11:24:15 - Lade Datei herunter: dashboard.php (Commit: 554b881835dfdb661c401b7a3d5335eea98f253e)
2025-03-14 11:24:16 - Lade Datei herunter: debug.php (Commit: 554b881835dfdb661c401b7a3d5335eea98f253e)
2025-03-14 11:24:16 - Lade Datei herunter: error_check.php (Commit: 554b881835dfdb661c401b7a3d5335eea98f253e)
2025-03-14 11:24:16 - Lade Datei herunter: index.php (Commit: 554b881835dfdb661c401b7a3d5335eea98f253e)
2025-03-14 11:24:16 - Lade Datei herunter: init.php (Commit: 554b881835dfdb661c401b7a3d5335eea98f253e)
2025-03-14 11:24:17 - Lade Datei herunter: js/admin.js (Commit: 554b881835dfdb661c401b7a3d5335eea98f253e)
2025-03-14 11:24:17 - Lade Datei herunter: js/admin/groups.js (Commit: 554b881835dfdb661c401b7a3d5335eea98f253e)
2025-03-14 11:24:17 - Lade Datei herunter: js/login.js (Commit: 554b881835dfdb661c401b7a3d5335eea98f253e)
2025-03-14 11:24:18 - Lade Datei herunter: js/register.js (Commit: 554b881835dfdb661c401b7a3d5335eea98f253e)
2025-03-14 11:24:18 - Lade Datei herunter: libs/smarty/Smarty.class.php (Commit: 554b881835dfdb661c401b7a3d5335eea98f253e)
2025-03-14 11:24:18 - Lade Datei herunter: libs/smarty/src/BlockHandler/Base.php (Commit: 554b881835dfdb661c401b7a3d5335eea98f253e)
2025-03-14 11:24:18 - Lade Datei herunter: libs/smarty/src/BlockHandler/BlockHandlerInterface.php (Commit: 554b881835dfdb661c401b7a3d5335eea98f253e)
2025-03-14 11:24:19 - Lade Datei herunter: libs/smarty/src/BlockHandler/BlockPluginWrapper.php (Commit: 554b881835dfdb661c401b7a3d5335eea98f253e)
2025-03-14 11:24:19 - Lade Datei herunter: libs/smarty/src/BlockHandler/TextFormat.php (Commit: 554b881835dfdb661c401b7a3d5335eea98f253e)
2025-03-14 11:24:19 - Lade Datei herunter: libs/smarty/src/Cacheresource/Base.php (Commit: 554b881835dfdb661c401b7a3d5335eea98f253e)
2025-03-14 11:24:20 - Lade Datei herunter: libs/smarty/src/Cacheresource/Custom.php (Commit: 554b881835dfdb661c401b7a3d5335eea98f253e)
